Equipo,Fecha 1,Fecha 2,Fecha 3,Fecha 4,Fecha 5,Fecha 6,Fecha 7,Fecha 8,Fecha 9,Fecha 10,Fecha 11,Fecha 12,Fecha 13,Fecha 14,Fecha 15,Fecha 16,Fecha 17,Fecha 18,Fecha 19,Fecha 20,Fecha 21,Fecha 22,Fecha 23,Fecha 24,Fecha 25
Godoy Cruz,Atlético Tucumán (V),Belgrano (L),Unión de Santa Fe (V),San Martín de Tucumán (L),River Plate (V),Racing Club (L),Aldosivi (V),Patronato de Paraná (L),San Martín de San Juan (V),Defensa y Justicia (L),Colón de Santa Fe (V),Boca Juniors (L),Rosario Central (V),CA Lanús (L),Talleres de Córdoba (V),Gimnasia de La Plata (L),Estudiantes (V),Argentinos Juniors (L),Huracán (V),Tigre (L),Banfield (V),Newell's Old Boys (L),Vélez Sarsfield (V),Independiente (V),San Lorenzo (L)
Huracán,Racing Club (V),San Lorenzo (L),Aldosivi (V),Belgrano (L),San Martín de San Juan (V),Patronato de Paraná (L),Defensa y Justicia (V),Colón de Santa Fe (L),Boca Juniors (V),Estudiantes (L),CA Lanús (V),Rosario Central (L),Talleres de Córdoba (V),Tigre (L),Gimnasia de La Plata (V),Argentinos Juniors (L),Banfield (L),Vélez Sarsfield (V),Godoy Cruz (L),Newell's Old Boys (V),Independiente (L),Atlético Tucumán (V),San Martín de Tucumán (L),Unión de Santa Fe (V),River Plate (L)
Independiente,River Plate (V),Racing Club (L),Atlético Tucumán (V),San Lorenzo (L),San Martín de Tucumán (V),Belgrano (L),San Martín de San Juan (V),Unión de Santa Fe (L),Colón de Santa Fe (V),Aldosivi (L),Patronato de Paraná (V),Defensa y Justicia (L),Estudiantes (V),Gimnasia de La Plata (L),Boca Juniors (V),Rosario Central (L),CA Lanús (V),Talleres de Córdoba (L),Tigre (V),Argentinos Juniors (L),Huracán (V),Vélez Sarsfield (L),Newell's Old Boys (V),Godoy Cruz (L),Banfield (V)
Newell's Old Boys,San Martín de Tucumán (V),Atlético Tucumán (L),San Lorenzo (V),Unión de Santa Fe (L),Belgrano (V),Aldosivi (L),Colón de Santa Fe (V),San Martín de San Juan (L),Defensa y Justicia (V),Patronato de Paraná (L),Boca Juniors (V),Gimnasia de La Plata (L),CA Lanús (V),Argentinos Juniors (L),Rosario Central (V),Talleres de Córdoba (L),Tigre (V),Estudiantes (L),Banfield (V),Huracán (L),Vélez Sarsfield (L),Godoy Cruz (V),Independiente (L),River Plate (V),Racing Club (L)
Patronato de Paraná,Rosario Central (L),Estudiantes (V),Tigre (L),Talleres de Córdoba (V),Argentinos Juniors (L),Huracán (V),Banfield (L),Godoy Cruz (V),Vélez Sarsfield (L),Newell's Old Boys (V),Independiente (L),San Lorenzo (V),Atlético Tucumán (L),Unión de Santa Fe (V),Racing Club (L),River Plate (V),Belgrano (L),San Martín de Tucumán (V),San Martín de San Juan (L),Aldosivi (V),Defensa y Justicia (L),Colón de Santa Fe (L),Boca Juniors (V),CA Lanús (L),Gimnasia de La Plata (V)
Racing Club,Huracán (L),Independiente (V),Rosario Central (L),Banfield (V),Tigre (L),Godoy Cruz (V),Atlético Tucumán (L),River Plate (V),San Lorenzo (L),San Martín de Tucumán (V),Belgrano (V),Unión de Santa Fe (L),Aldosivi (V),Boca Juniors (L),Patronato de Paraná (V),Defensa y Justicia (L),Colón de Santa Fe (V),San Martín de San Juan (L),Argentinos Juniors (V),Talleres de Córdoba (L),Estudiantes (V),Gimnasia de La Plata (L),CA Lanús (V),Vélez Sarsfield (L),Newell's Old Boys (V)
River Plate,Independiente (L),Banfield (V),Vélez Sarsfield (L),Atlético Tucumán (V),Godoy Cruz (L),San Lorenzo (L),San Martín de Tucumán (V),Racing Club (L),Unión de Santa Fe (V),San Martín de San Juan (L),Aldosivi (V),Belgrano (L),Colón de Santa Fe (V),Defensa y Justicia (L),CA Lanús (V),Patronato de Paraná (L),Talleres de Córdoba (V),Boca Juniors (L),Gimnasia de La Plata (V),Estudiantes (L),Rosario Central (V),Tigre (L),Argentinos Juniors (V),Newell's Old Boys (L),Huracán (V)
Rosario Central,Patronato de Paraná (V),Boca Juniors (L),Racing Club (V),Defensa y Justicia (L),Colón de Santa Fe (V),CA Lanús (L),Estudiantes (V),Gimnasia de La Plata (L),Tigre (L),Talleres de Córdoba (V),Argentinos Juniors (L),Huracán (V),Godoy Cruz (L),Vélez Sarsfield (V),Newell's Old Boys (L),Independiente (V),Atlético Tucumán (L),Banfield (V),San Lorenzo (L),San Martín de Tucumán (V),River Plate (L),Aldosivi (V),Unión de Santa Fe (L),San Martín de San Juan (V),Belgrano (L)
San Lorenzo,Vélez Sarsfield (L),Huracán (V),Newell's Old Boys (L),Independiente (V),Atlético Tucumán (L),River Plate (V),Unión de Santa Fe (V),San Martín de Tucumán (L),Racing Club (V),Belgrano (L),San Martín de San Juan (V),Patronato de Paraná (L),Boca Juniors (V),Estudiantes (L),Aldosivi (V),Colón de Santa Fe (L),Defensa y Justicia (V),Gimnasia de La Plata (L),Rosario Central (V),CA Lanús (L),Talleres de Córdoba (V),Argentinos Juniors (L),Banfield (V),Tigre (L),Godoy Cruz (V)
San Martín de San Juan,Talleres de Córdoba (L),CA Lanús (V),Estudiantes (L),Tigre (V),Huracán (L),Banfield (V),Independiente (L),Newell's Old Boys (V),Godoy Cruz (L),River Plate (V),San Lorenzo (L),Atlético Tucumán (V),Vélez Sarsfield (L),San Martín de Tucumán (V),Unión de Santa Fe (L),Belgrano (V),Aldosivi (L),Racing Club (V),Patronato de Paraná (V),Defensa y Justicia (L),Colón de Santa Fe (V),Boca Juniors (L),Gimnasia de La Plata (V),Rosario Central (L),Argentinos Juniors (V)
San Martín de Tucumán,Newell's Old Boys (L),Vélez Sarsfield (V),Gimnasia de La Plata (L),Godoy Cruz (V),Independiente (L),Atlético Tucumán (V),River Plate (L),San Lorenzo (V),Belgrano (V),Racing Club (L),Unión de Santa Fe (V),Aldosivi (L),Defensa y Justicia (V),San Martín de San Juan (L),Colón de Santa Fe (V),CA Lanús (L),Boca Juniors (V),Patronato de Paraná (L),Estudiantes (V),Rosario Central (L),Tigre (V),Banfield (L),Huracán (V),Argentinos Juniors (L),Talleres de Córdoba (V)
Talleres de Córdoba,San Martín de San Juan (V),Defensa y Justicia (L),Boca Juniors (V),Patronato de Paraná (L),Aldosivi (V),Colón de Santa Fe (L),CA Lanús (V),Estudiantes (L),Gimnasia de La Plata (V),Rosario Central (L),Tigre (L),Argentinos Juniors (V),Huracán (L),Banfield (V),Godoy Cruz (L),Newell's Old Boys (V),River Plate (L),Independiente (V),Vélez Sarsfield (L),Racing Club (V),San Lorenzo (L),Unión de Santa Fe (V),Atlético Tucumán (L),Belgrano (V),San Martín de Tucumán (L)
Tigre,Colón de Santa Fe (V),Aldosivi (L),Patronato de Paraná (V),San Martín de San Juan (L),Racing Club (V),Boca Juniors (L),Gimnasia de La Plata (V),Defensa y Justicia (L),Rosario Central (V),CA Lanús (L),Talleres de Córdoba (V),Estudiantes (L),Argentinos Juniors (L),Huracán (V),Vélez Sarsfield (L),Banfield (V),Newell's Old Boys (L),Atlético Tucumán (V),Independiente (L),Godoy Cruz (V),San Martín de Tucumán (L),River Plate (V),Belgrano (L),San Lorenzo (V),Unión de Santa Fe (L)
Unión de Santa Fe,Estudiantes (L),Argentinos Juniors (V),Godoy Cruz (L),Newell's Old Boys (V),Banfield (L),Vélez Sarsfield (V),San Lorenzo (L),Independiente (V),River Plate (L),Atlético Tucumán (V),San Martín de Tucumán (L),Racing Club (V),Belgrano (V),Patronato de Paraná (L),San Martín de San Juan (V),Aldosivi (L),Gimnasia de La Plata (V),Colón de Santa Fe (L),Defensa y Justicia (V),Boca Juniors (L),CA Lanús (V),Talleres de Córdoba (L),Rosario Central (V),Huracán (L),Tigre (V)
Vélez Sarsfield,San Lorenzo (V),San Martín de Tucumán (L),River Plate (V),Aldosivi (L),Defensa y Justicia (V),Unión de Santa Fe (L),Belgrano (V),Boca Juniors (L),Patronato de Paraná (V),Colón de Santa Fe (L),Gimnasia de La Plata (V),CA Lanús (L),San Martín de San Juan (V),Rosario Central (L),Tigre (V),Estudiantes (L),Argentinos Juniors (V),Huracán (L),Talleres de Córdoba (V),Banfield (L),Newell's Old Boys (V),Independiente (V),Godoy Cruz (L),Racing Club (V),Atlético Tucumán (L)
